backend,qubits,leaf_depth,seed,time_s
ibm_kingston,54,10,3,0.156121
ibm_kingston,54,10,21,0.152832
ibm_kingston,54,10,42,0.169858
ibm_kingston,54,10,63,0.163777
ibm_kingston,54,10,84,0.181723
ibm_kingston,54,10,105,0.165462
ibm_kingston,54,10,126,0.158974
ibm_kingston,54,10,147,0.152921
ibm_kingston,54,10,168,0.159992
ibm_kingston,54,10,189,0.165463
ibm_kingston,54,20,3,0.223547
ibm_kingston,54,20,21,0.241579
ibm_kingston,54,20,42,0.223308
ibm_kingston,54,20,63,0.247741
ibm_kingston,54,20,84,0.23269
ibm_kingston,54,20,105,0.230191
ibm_kingston,54,20,126,0.222551
ibm_kingston,54,20,147,0.220156
ibm_kingston,54,20,168,0.244426
ibm_kingston,54,20,189,0.241637
ibm_kingston,54,30,3,0.285832
ibm_kingston,54,30,21,0.287744
ibm_kingston,54,30,42,0.279562
ibm_kingston,54,30,63,0.274703
ibm_kingston,54,30,84,0.282136
ibm_kingston,54,30,105,0.290568
ibm_kingston,54,30,126,0.285253
ibm_kingston,54,30,147,0.269783
ibm_kingston,54,30,168,0.287817
ibm_kingston,54,30,189,0.274848
ibm_kingston,54,40,3,0.337636
ibm_kingston,54,40,21,0.54872
ibm_kingston,54,40,42,0.339982
ibm_kingston,54,40,63,0.358276
ibm_kingston,54,40,84,0.340878
ibm_kingston,54,40,105,0.344761
ibm_kingston,54,40,126,0.370017
ibm_kingston,54,40,147,0.346473
ibm_kingston,54,40,168,0.537421
ibm_kingston,54,40,189,0.340489
ibm_kingston,54,50,3,0.422442
ibm_kingston,54,50,21,0.415505
ibm_kingston,54,50,42,0.638996
ibm_kingston,54,50,63,0.391862
ibm_kingston,54,50,84,0.417639
ibm_kingston,54,50,105,0.40272
ibm_kingston,54,50,126,0.405827
ibm_kingston,54,50,147,0.621958
ibm_kingston,54,50,168,0.381255
ibm_kingston,54,50,189,0.393895
ibm_kingston,54,60,3,0.75583
ibm_kingston,54,60,21,0.773773
ibm_kingston,54,60,42,0.800566
ibm_kingston,54,60,63,0.755608
ibm_kingston,54,60,84,0.752236
ibm_kingston,54,60,105,0.459828
ibm_kingston,54,60,126,0.458934
ibm_kingston,54,60,147,0.447215
ibm_kingston,54,60,168,0.474909
ibm_kingston,54,60,189,0.437749
ibm_kingston,54,70,3,0.538819
ibm_kingston,54,70,21,0.895855
ibm_kingston,54,70,42,0.501157
ibm_kingston,54,70,63,0.526294
ibm_kingston,54,70,84,0.505473
ibm_kingston,54,70,105,0.885149
ibm_kingston,54,70,126,0.899145
ibm_kingston,54,70,147,0.536695
ibm_kingston,54,70,168,0.497093
ibm_kingston,54,70,189,0.522181
ibm_kingston,54,80,3,0.599628
ibm_kingston,54,80,21,0.98988
ibm_kingston,54,80,42,0.56729
ibm_kingston,54,80,63,0.981535
ibm_kingston,54,80,84,0.582483
ibm_kingston,54,80,105,0.953017
ibm_kingston,54,80,126,0.553153
ibm_kingston,54,80,147,0.596756
ibm_kingston,54,80,168,0.924556
ibm_kingston,54,80,189,0.57468
ibm_kingston,54,90,3,0.633676
ibm_kingston,54,90,21,1.093157
ibm_kingston,54,90,42,1.080931
ibm_kingston,54,90,63,1.026549
ibm_kingston,54,90,84,1.008556
ibm_kingston,54,90,105,0.65991
ibm_kingston,54,90,126,0.612714
ibm_kingston,54,90,147,0.627841
ibm_kingston,54,90,168,0.676579
ibm_kingston,54,90,189,1.104161
ibm_kingston,81,10,3,0.279042
ibm_kingston,81,10,21,0.284004
ibm_kingston,81,10,42,0.310406
ibm_kingston,81,10,63,0.290902
ibm_kingston,81,10,84,0.312052
ibm_kingston,81,10,105,0.296775
ibm_kingston,81,10,126,0.324633
ibm_kingston,81,10,147,0.279403
ibm_kingston,81,10,168,0.292042
ibm_kingston,81,10,189,0.294804
ibm_kingston,81,20,3,0.486001
ibm_kingston,81,20,21,0.419985
ibm_kingston,81,20,42,0.376327
ibm_kingston,81,20,63,0.353435
ibm_kingston,81,20,84,0.372699
ibm_kingston,81,20,105,0.395324
ibm_kingston,81,20,126,0.401908
ibm_kingston,81,20,147,0.358261
ibm_kingston,81,20,168,0.373564
ibm_kingston,81,20,189,0.356547
ibm_kingston,81,30,3,0.562697
ibm_kingston,81,30,21,0.463972
ibm_kingston,81,30,42,0.440697
ibm_kingston,81,30,63,0.450351
ibm_kingston,81,30,84,0.444161
ibm_kingston,81,30,105,0.562132
ibm_kingston,81,30,126,0.44842
ibm_kingston,81,30,147,0.427295
ibm_kingston,81,30,168,0.459481
ibm_kingston,81,30,189,0.469616
ibm_kingston,81,40,3,0.538473
ibm_kingston,81,40,21,0.542352
ibm_kingston,81,40,42,0.515943
ibm_kingston,81,40,63,0.557744
ibm_kingston,81,40,84,0.515657
ibm_kingston,81,40,105,0.685801
ibm_kingston,81,40,126,0.708354
ibm_kingston,81,40,147,0.671081
ibm_kingston,81,40,168,0.545947
ibm_kingston,81,40,189,0.561573
ibm_kingston,81,50,3,0.79988
ibm_kingston,81,50,21,0.66838
ibm_kingston,81,50,42,0.792663
ibm_kingston,81,50,63,0.647115
ibm_kingston,81,50,84,0.597853
ibm_kingston,81,50,105,0.805061
ibm_kingston,81,50,126,0.640094
ibm_kingston,81,50,147,0.573231
ibm_kingston,81,50,168,0.775501
ibm_kingston,81,50,189,0.645998
ibm_kingston,81,60,3,0.712628
ibm_kingston,81,60,21,0.897273
ibm_kingston,81,60,42,0.918186
ibm_kingston,81,60,63,0.875098
ibm_kingston,81,60,84,0.695652
ibm_kingston,81,60,105,0.694472
ibm_kingston,81,60,126,0.671658
ibm_kingston,81,60,147,0.658583
ibm_kingston,81,60,168,0.884805
ibm_kingston,81,60,189,0.902441
ibm_kingston,81,70,3,0.74301
ibm_kingston,81,70,21,0.742795
ibm_kingston,81,70,42,1.064903
ibm_kingston,81,70,63,0.820477
ibm_kingston,81,70,84,0.756204
ibm_kingston,81,70,105,1.076061
ibm_kingston,81,70,126,0.80089
ibm_kingston,81,70,147,0.738996
ibm_kingston,81,70,168,1.007417
ibm_kingston,81,70,189,0.798173
ibm_kingston,81,80,3,1.167995
ibm_kingston,81,80,21,1.150317
ibm_kingston,81,80,42,1.12333
ibm_kingston,81,80,63,0.810124
ibm_kingston,81,80,84,0.887292
ibm_kingston,81,80,105,1.223159
ibm_kingston,81,80,126,1.176443
ibm_kingston,81,80,147,1.155156
ibm_kingston,81,80,168,0.821669
ibm_kingston,81,80,189,0.902555
ibm_kingston,81,90,3,0.990055
ibm_kingston,81,90,21,1.36342
ibm_kingston,81,90,42,1.31764
ibm_kingston,81,90,63,0.941257
ibm_kingston,81,90,84,1.275318
ibm_kingston,81,90,105,1.361855
ibm_kingston,81,90,126,0.936658
ibm_kingston,81,90,147,0.998345
ibm_kingston,81,90,168,1.271652
ibm_kingston,81,90,189,0.965225
ibm_kingston,121,10,3,0.588043
ibm_kingston,121,10,21,0.803669
ibm_kingston,121,10,42,0.613764
ibm_kingston,121,10,63,0.613577
ibm_kingston,121,10,84,0.642815
ibm_kingston,121,10,105,0.667444
ibm_kingston,121,10,126,0.641708
ibm_kingston,121,10,147,0.652051
ibm_kingston,121,10,168,0.585904
ibm_kingston,121,10,189,0.657315
ibm_kingston,121,20,3,1.057076
ibm_kingston,121,20,21,0.790871
ibm_kingston,121,20,42,0.761755
ibm_kingston,121,20,63,0.692001
ibm_kingston,121,20,84,0.750267
ibm_kingston,121,20,105,0.973032
ibm_kingston,121,20,126,0.790226
ibm_kingston,121,20,147,0.978802
ibm_kingston,121,20,168,0.83572
ibm_kingston,121,20,189,0.804386
ibm_kingston,121,30,3,1.21031
ibm_kingston,121,30,21,1.243025
ibm_kingston,121,30,42,1.216813
ibm_kingston,121,30,63,0.960867
ibm_kingston,121,30,84,0.926821
ibm_kingston,121,30,105,0.883325
ibm_kingston,121,30,126,0.968904
ibm_kingston,121,30,147,1.20266
ibm_kingston,121,30,168,1.234038
ibm_kingston,121,30,189,1.316498
ibm_kingston,121,40,3,1.472374
ibm_kingston,121,40,21,1.391411
ibm_kingston,121,40,42,1.074782
ibm_kingston,121,40,63,1.009425
ibm_kingston,121,40,84,1.114653
ibm_kingston,121,40,105,1.023724
ibm_kingston,121,40,126,1.495232
ibm_kingston,121,40,147,1.47297
ibm_kingston,121,40,168,1.344197
ibm_kingston,121,40,189,1.104825
ibm_kingston,121,50,3,1.538596
ibm_kingston,121,50,21,1.684363
ibm_kingston,121,50,42,1.276411
ibm_kingston,121,50,63,1.783862
ibm_kingston,121,50,84,1.168628
ibm_kingston,121,50,105,1.757045
ibm_kingston,121,50,126,1.170006
ibm_kingston,121,50,147,1.662677
ibm_kingston,121,50,168,1.69309
ibm_kingston,121,50,189,1.19979
ibm_kingston,121,60,3,1.259622
ibm_kingston,121,60,21,1.89215
ibm_kingston,121,60,42,2.080777
ibm_kingston,121,60,63,1.401857
ibm_kingston,121,60,84,1.547361
