filename,final_depth,swap_count,runtime
knn_n67__36CYC.json,518,382,2.011047601699829
qugan_n71__72CYC.json,879,555,1.1964426040649414
multiplier_n75__1308CYC.json,10822,6154,6.27113151550293
qugan_n39__40CYC.json,359,191,0.3351280689239502
dnn_n51__58CYC.json,602,381,0.5930445194244385
ising_n66__16CYC.json,37,121,0.050760507583618164
wstate_n36__73CYC.json,192,99,0.0233151912689209
ghz_n78__79CYC.json,201,147,0.014442205429077148
bv_n30__22CYC.json,87,42,0.009645938873291016
ghz_n40__41CYC.json,101,73,0.007443904876708984
cat_n65__66CYC.json,158,109,0.012046337127685547
ising_n34__16CYC.json,32,46,0.013236522674560547
knn_n31__18CYC.json,236,139,0.14269280433654785
cat_n35__36CYC.json,74,48,0.0052263736724853516
wstate_n76__153CYC.json,408,267,0.06267309188842773
adder_n28__42CYC.json,339,187,0.13419723510742188
swap_test_n41__23CYC.json,306,166,0.2781641483306885
multiplier_n45__462CYC.json,3808,2065,1.618243932723999
qft_n29__222CYC.json,598,577,0.6331281661987305
bv_n70__40CYC.json,176,106,0.023772478103637695
adder_n64__78CYC.json,696,657,2.1010074615478516
qft_n63__494CYC.json,1844,3033,4.663055419921875
