filename,final_depth,swap_count,runtime
bigadder_n18__37CYC.json,228,52,0.034371376037597656
dnn_n16__173CYC.json,448,36,0.10872650146484375
qram_n20__24CYC.json,246,73,0.03023386001586914
square_root_n18__203CYC.json,1984,540,0.24211525917053223
ising_n26__16CYC.json,27,26,0.00991964340209961
wstate_n27__55CYC.json,126,39,0.01367497444152832
multiplier_n15__49CYC.json,336,107,0.05136919021606445
bv_n19__22CYC.json,75,23,0.006361246109008789
qf21_n15__52CYC.json,301,70,0.020004749298095703
ghz_state_n23__24CYC.json,42,18,0.0027337074279785156
qft_n18__134CYC.json,325,154,0.14346981048583984
bv_n14__17CYC.json,59,18,0.0048961639404296875
swap_test_n25__15CYC.json,171,58,0.08002448081970215
knn_n25__15CYC.json,170,58,0.09697723388671875
multiply_n13__7CYC.json,69,31,0.00989222526550293
qec9xz_n17__16CYC.json,69,45,0.012541770935058594
seca_n11__37CYC.json,108,25,0.01617264747619629
cat_state_n22__23CYC.json,37,18,0.002547025680541992
sat_n11__51CYC.json,560,104,0.04051685333251953
