"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","394.14142127666","378.8775548649424","0.01171875","0.01416015625","0.00927734375","2280","0.0003535020543338609","32","0.0003535020543338609","0","0.0003535020543338609","0.0003535020543338609","1:0.006998767793948535","1:68","1:0.0013872805301668734","0.01171875","0.014892578125","Yes"
"1","296.15145752110465","336.19244169631094","0.282958984375","0.1474609375","0.41845703125","2280","0.0003200228789768942","32","0.0003200228789768942","0","0.0003200228789768942","0.0003200228789768942","2:0.001548063928725113;0:0.006998767793948535","2:68;0:68","2:0.0016035578018850083;0:0.0013872805301668734","0.282958984375","0.23681640625","Yes"
"2","223.79989204154978","93.9652123689071","0.012451171875","0.0126953125","0.01220703125","2280","0.00017853011956319603","32","0.00017853011956319603","0","0.00017853011956319603","0.00017853011956319603","1:0.001548063928725113;3:0.0011701667968700702","1:68;3:68","1:0.0016035578018850083;3:0.0009047676890772682","0.012451171875","0.02099609375","Yes"
"3","338.66308743552827","365.41128342801915","0.00390625","0.0068359375","0.0009765625","2280","0.0003298314633274838","32","0.0003298314633274838","0","0.0003298314633274838","0.0003298314633274838","16:0.0008541017019624841;2:0.0011701667968700702;4:0.00333746665887219","16:68;2:68;4:68","16:0.0010733237989446753;2:0.0009047676890772682;4:0.0020524428611733703","0.00390625","0.004150390625","Yes"
"4","302.4221708120817","64.43262322141226","0.010009765625","0.0087890625","0.01123046875","2280","0.0002258309931878937","32","0.0002258309931878937","0","0.0002258309931878937","0.0002258309931878937","3:0.00333746665887219;5:0.003970720147074669","3:68;5:68","3:0.0020524428611733703;5:0.002533187592127839","0.010009765625","0.014404296875","Yes"
"5","207.26772813452644","72.91604282435941","0.00390625","0.0048828125","0.0029296875","2280","0.00020714456100029885","32","0.00020714456100029885","0","0.00020714456100029885","0.00020714456100029885","6:0.0031147505333577463;4:0.003970720147074669","6:68;4:68","6:0.003443383184147303;4:0.002533187592127839","0.00390625","0.006103515625","Yes"
"6","216.6465105167857","89.2176467220437","0.005615234375","0.00537109375","0.005859375","2280","0.00017510372180298828","32","0.00017510372180298828","0","0.00017510372180298828","0.00017510372180298828","5:0.0031147505333577463;7:0.007198412728390391","5:68;7:80","5:0.003443383184147303;7:0.007476559248613152","0.005615234375","0.007080078125","Yes"
"7","339.2587690084341","89.06728222888769","0.0146484375","0.01416015625","0.01513671875","2280","0.0003305864074014641","32","0.0003305864074014641","0","0.0003305864074014641","0.0003305864074014641","17:0.005512609501528154;6:0.007198412728390391;8:0.006597384874800882","17:68;6:80;8:68","17:0.0045097422801822495;6:0.007476559248613152;8:0.004136891611835947","0.0146484375","0.01416015625","Yes"
"8","313.04173044163093","87.4266743846362","0.003173828125","0.0048828125","0.00146484375","2280","0.00017521677878755217","32","0.00017521677878755217","0","0.00017521677878755217","0.00017521677878755217","9:0.012942998935415007;7:0.006597384874800882","9:68;7:68","9:0.002067801665017105;7:0.004136891611835947","0.003173828125","0.00390625","Yes"
"9","152.3354504705622","45.929906496482154","0.007568359375","0.01123046875","0.00390625","2280","0.0001805029700500193","32","0.0001805029700500193","0","0.0001805029700500193","0.0001805029700500193","8:0.012942998935415007;10:0.018550862897930315","8:68;10:68","8:0.002067801665017105;10:0.0028033666559602877","0.007568359375","0.013427734375","Yes"
"10","221.723546994736","27.935373982889544","0.00537109375","0.00927734375","0.00146484375","2280","0.0002396175567167217","32","0.0002396175567167217","0","0.0002396175567167217","0.0002396175567167217","9:0.018550862897930315;11:0.002300724868887577","9:68;11:68","9:0.0028033666559602877;11:0.0019911774341458133","0.00537109375","0.001953125","Yes"
"11","451.9631326662032","71.68468090759538","0.048828125","0.03076171875","0.06689453125","2280","0.0001836622380129042","32","0.0001836622380129042","0","0.0001836622380129042","0.0001836622380129042","18:0.00240259103791729;10:0.002300724868887577;12:0.0016944591573669343","18:68;10:68;12:68","18:0.0022075274638529985;10:0.0019911774341458133;12:0.0020200114701880434","0.048828125","0.015625","Yes"
"12","293.10938591498456","264.11073224017747","0.029296875","0.037109375","0.021484375","2280","0.0001721404676030065","32","0.0001721404676030065","0","0.0001721404676030065","0.0001721404676030065","13:0.0022104160668931783;11:0.0016944591573669343","13:68;11:68","13:0.001992512011379205;11:0.0020200114701880434","0.029296875","0.026123046875","Yes"
"13","325.5631200871397","437.38973724125566","0.0068359375","0.01025390625","0.00341796875","2280","0.00028677819277692605","32","0.00028677819277692605","0","0.00028677819277692605","0.00028677819277692605","12:0.0022104160668931783;14:0.002651720370718841","12:68;14:68","12:0.001992512011379205;14:0.0015850863216894384","0.0068359375","0.007080078125","Yes"
"14","356.89004391909856","497.3151578444454","0.021240234375","0.02099609375","0.021484375","2280","0.00018132132380901063","32","0.00018132132380901063","0","0.00018132132380901063","0.00018132132380901063","15:0.005686243615063952;13:0.002651720370718841","15:68;13:68","15:0.0014265829547569497;13:0.0015850863216894384","0.021240234375","0.013671875","Yes"
"15","236.28231333623165","181.76243566381305","0.0078125","0.00927734375","0.00634765625","2280","0.00011008949004364006","32","0.00011008949004364006","0","0.00011008949004364006","0.00011008949004364006","14:0.005686243615063952;19:0.0029629556577566163","14:68;19:68","14:0.0014265829547569497;19:0.0014176849484145437","0.0078125","0.0078125","Yes"
"16","382.39261217615694","174.28419783477946","0.043701171875","0.03564453125","0.0517578125","2280","0.0001003205596635005","32","0.0001003205596635005","0","0.0001003205596635005","0.0001003205596635005","23:0.0014901347204764603;3:0.0008541017019624841","23:68;3:68","23:0.0010107791379112274;3:0.0010733237989446753","0.043701171875","0.09423828125","Yes"
"17","264.67074428888844","133.23274558275403","0.00732421875","0.01123046875","0.00341796875","2280","0.00020821929479496542","32","0.00020821929479496542","0","0.00020821929479496542","0.00020821929479496542","7:0.005512609501528154;27:0.0014204479500036504","7:68;27:68","7:0.0045097422801822495;27:0.001423163071584882","0.00732421875","0.0048828125","Yes"
"18","146.8946052713911","117.13962223564252","0.02197265625","0.04345703125","0.00048828125","2280","0.00025275524602941853","32","0.00025275524602941853","0","0.00025275524602941853","0.00025275524602941853","11:0.00240259103791729;31:0.004968998470662955","11:68;31:68","11:0.0022075274638529985;31:0.0026854312483121645","0.02197265625","0.006103515625","Yes"
"19","330.8042495086445","245.14416835604518","0.010009765625","0.0107421875","0.00927734375","2280","0.0003324055749249085","32","0.0003324055749249085","0","0.0003324055749249085","0.0003324055749249085","35:0.0010847850818545002;15:0.0029629556577566163","35:68;15:68","35:0.001638300343745347;15:0.0014176849484145437","0.010009765625","0.0087890625","Yes"
"20","315.7152116772081","22.763322610551707","0.007080078125","0.0107421875","0.00341796875","2280","0.0004025861148394332","32","0.0004025861148394332","0","0.0004025861148394332","0.0004025861148394332","21:0.0023320055451358235","21:68","21:0.002469736848856069","0.007080078125","0.005126953125","Yes"
