"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","264.66662951791915","498.0512310922384","0.006103515625","0.00439453125","0.0078125","2200","0.00020746029200304218","32","0.00020746029200304218","0","0.00020746029200304218","0.00020746029200304218","1:0.0009540450031296777","1:68","1:0.0008650610610594633","0.006103515625","0.002197265625","Yes"
"1","278.00410990722486","260.7658213504495","0.00537109375","0.00830078125","0.00244140625","2200","0.00012233444545021216","32","0.00012233444545021216","0","0.00012233444545021216","0.00012233444545021216","2:0.012556413228090285;0:0.0009540450031296777","2:68;0:68","2:0.011337010878631676;0:0.0008650610610594633","0.00537109375","0.00341796875","Yes"
"2","17.30973333098538","32.01813275621286","0.018310546875","0.033203125","0.00341796875","2200","0.0007880163090247244","32","0.0007880163090247244","0","0.0007880163090247244","0.0007880163090247244","1:0.012556413228090285;3:0.011486747795024344","1:68;3:88","1:0.011337010878631676;3:0.014407055611695807","0.018310546875","0.01123046875","Yes"
"3","206.69517962971818","317.1122116097185","0.002685546875","0.00390625","0.00146484375","2200","0.00017508072577371645","32","0.00017508072577371645","0","0.00017508072577371645","0.00017508072577371645","16:0.000865130352551341;2:0.011486747795024344;4:0.0009184607424344571","16:68;2:88;4:68","16:0.0008592743501178723;2:0.014407055611695807;4:0.0010524042170658165","0.002685546875","0.003173828125","Yes"
"4","268.9246049148305","404.9888374531007","0.003662109375","0.00390625","0.00341796875","2200","0.00012132456252436492","32","0.00012132456252436492","0","0.00012132456252436492","0.00012132456252436492","3:0.0009184607424344571;5:0.007629627558054908","3:68;5:68","3:0.0010524042170658165;5:0.0009204182847386277","0.003662109375","0.00341796875","Yes"
"5","276.87727635922784","397.0480180521213","0.005126953125","0.00634765625","0.00390625","2200","0.00019373809363328336","32","0.00019373809363328336","0","0.00019373809363328336","0.00019373809363328336","6:0.0007816546790562207;4:0.007629627558054908","6:68;4:68","6:0.0009197969865215039;4:0.0009204182847386277","0.005126953125","0.006103515625","Yes"
"6","160.11278196097723","216.29645340895976","0.0029296875","0.00390625","0.001953125","2200","0.00014035417062511482","32","0.00014035417062511482","0","0.00014035417062511482","0.00014035417062511482","5:0.0007816546790562207;7:0.0007599388557086861","5:68;7:68","5:0.0009197969865215039;7:0.0010634315235620861","0.0029296875","0.001953125","Yes"
"7","283.91150796663135","282.0708091538239","0.0078125","0.01416015625","0.00146484375","2200","0.00012962632629127648","32","0.00012962632629127648","0","0.00012962632629127648","0.00012962632629127648","17:0.0010691810877698216;6:0.0007599388557086861;8:0.0010324453865002137","17:68;6:68;8:68","17:0.0010212053582249192;6:0.0010634315235620861;8:0.0009797124853345163","0.0078125","0.002685546875","Yes"
"8","138.62017063048603","231.4415501484563","0.004638671875","0.00537109375","0.00390625","2200","0.00012048133806404612","32","0.00012048133806404612","0","0.00012048133806404612","0.00012048133806404612","9:0.00415042425517545;7:0.0010324453865002137","9:68;7:68","9:0.004245466665119463;7:0.0009797124853345163","0.004638671875","0.005615234375","Yes"
"9","72.59037715806491","113.87959665812535","0.0048828125","0.009765625","0","2200","0.001099312460166689","32","0.001099312460166689","0","0.001099312460166689","0.001099312460166689","8:0.00415042425517545;10:0.010318926799885803","8:68;10:68","8:0.004245466665119463;10:0.01132262933571404","0.0048828125","0.01025390625","Yes"
