gate 1 (cz, q56, q57)
gate 2 (h, q54)
gate 3 (rz, q59)
gate 4 (rz, q37)
gate 5 (rz, q58)
gate 6 (x, q65)
gate 7 (rx, q52)
gate 8 (h, q34)
gate 9 (x, q53)
gate 10 (z, q39)
gate 11 (rz, q33)
gate 12 (rx, q27)
gate 13 (rx, q64)
gate 14 (x, q66)
gate 15 (x, q62)
gate 16 (cz, q69, q70)
gate 17 (z, q73)
gate 18 (h, q79)
gate 19 (z, q68)
gate 20 (z, q78)
gate 21 (z, q71)
gate 22 (rx, q72)
gate 23 (h, q51)
gate 24 (x, q67)
gate 25 (x, q75)
gate 26 (h, q80)
gate 27 (rz, q77)
gate 28 (z, q6)
gate 29 (rx, q8)
gate 30 (z, q7)
gate 31 (rx, q7)
gate 32 (cz, q56, q57)
gate 33 (z, q37)
gate 34 (z, q58)
gate 35 (z, q59)
gate 36 (rx, q53)
gate 37 (rz, q64)
gate 38 (rx, q39)
gate 39 (rz, q52)
gate 40 (z, q66)
gate 41 (rx, q54)
gate 42 (z, q65)
gate 43 (x, q33)
gate 44 (h, q62)
gate 45 (cz, q69, q70)
gate 46 (cz, q67, q68)
gate 47 (rx, q75)
gate 48 (z, q72)
gate 49 (h, q73)
gate 50 (x, q79)
gate 51 (rx, q71)
gate 52 (x, q78)
gate 53 (z, q80)
gate 54 (rx, q77)
gate 55 (h, q6)
gate 56 (rx, q8)
gate 57 (h, q8)
gate 58 (cx, q56, q57)
gate 59 (z, q39)
gate 60 (h, q59)
gate 61 (rz, q64)
gate 62 (rz, q58)
gate 63 (h, q53)
gate 64 (h, q33)
gate 65 (rx, q52)
gate 66 (x, q37)
gate 67 (z, q66)
gate 68 (z, q54)
gate 69 (cz, q6, q7)
gate 70 (z, q65)
gate 71 (z, q62)
gate 72 (cx, q69, q70)
gate 73 (x, q73)
gate 74 (z, q79)
gate 75 (rz, q67)
gate 76 (x, q78)
gate 77 (rx, q75)
gate 78 (h, q68)
gate 79 (h, q80)
gate 80 (rz, q77)
gate 81 (z, q8)
gate 82 (x, q7)
gate 83 (h, q6)
gate 84 (rz, q62)
gate 85 (rx, q54)
gate 86 (z, q39)
gate 87 (x, q52)
gate 88 (x, q33)
gate 89 (x, q56)
gate 90 (x, q66)
gate 91 (h, q57)
gate 92 (z, q64)
gate 93 (h, q58)
gate 94 (z, q59)
gate 95 (rz, q53)
gate 96 (rx, q37)
gate 97 (rz, q65)
gate 98 (cz, q69, q70)
gate 99 (z, q73)
gate 100 (rz, q79)
gate 101 (z, q78)
gate 102 (x, q67)
gate 103 (rx, q75)
gate 104 (z, q68)
gate 105 (rz, q77)
gate 106 (x, q80)
gate 107 (z, q77)
gate 108 (h, q80)
gate 109 (cx, q6, q7)
gate 110 (rx, q8)
gate 111 (z, q59)
gate 112 (z, q37)
gate 113 (rz, q56)
gate 114 (z, q64)
gate 115 (rz, q39)
gate 116 (x, q54)
gate 117 (rz, q57)
gate 118 (rx, q66)
gate 119 (x, q58)
gate 120 (h, q33)
gate 121 (rx, q65)
gate 122 (rz, q62)
gate 123 (cx, q67, q68)
gate 124 (cz, q69, q70)
gate 125 (rz, q79)
gate 126 (z, q73)
gate 127 (rz, q75)
gate 128 (rz, q78)
gate 129 (x, q80)
gate 130 (rz, q77)
gate 131 (cx, q6, q7)
gate 132 (h, q8)
gate 133 (cx, q58, q59)
gate 134 (z, q37)
gate 135 (rz, q39)
gate 136 (rz, q56)
gate 137 (z, q66)
gate 138 (h, q33)
gate 139 (rz, q64)
gate 140 (h, q65)
gate 141 (rx, q54)
gate 142 (x, q57)
gate 143 (rz, q62)
gate 144 (cx, q67, q68)
gate 145 (rz, q69)
gate 146 (rz, q79)
gate 147 (z, q70)
gate 148 (rz, q75)
gate 149 (z, q78)
gate 150 (rz, q73)
gate 151 (cz, q67, q68)
gate 152 (h, q79)
gate 153 (z, q70)
gate 154 (x, q75)
gate 155 (rx, q69)
gate 156 (h, q73)
gate 157 (h, q78)
gate 158 (rz, q77)
gate 159 (h, q80)
gate 160 (cz, q6, q7)
gate 161 (x, q8)
gate 162 (cx, q56, q57)
gate 163 (x, q37)
gate 164 (rz, q64)
gate 165 (z, q59)
gate 166 (rz, q66)
gate 167 (rz, q39)
gate 168 (z, q65)
gate 169 (h, q54)
gate 170 (z, q33)
gate 171 (x, q58)
gate 172 (h, q62)
gate 173 (x, q62)
gate 174 (cz, q67, q68)
gate 175 (cz, q69, q70)
gate 176 (x, q75)
gate 177 (z, q79)
gate 178 (rx, q73)
gate 179 (h, q78)
gate 180 (rz, q77)
gate 181 (z, q80)
gate 182 (h, q8)
gate 183 (h, q6)
gate 184 (x, q7)
gate 185 (x, q65)
gate 186 (cx, q58, q59)
gate 187 (cz, q56, q57)
gate 188 (x, q33)
gate 189 (z, q37)
gate 190 (h, q39)
gate 191 (rz, q54)
gate 192 (rz, q64)
gate 193 (rz, q66)
gate 194 (cz, q58, q59)
gate 195 (rz, q39)
gate 196 (h, q65)
gate 197 (rz, q64)
gate 198 (rx, q54)
gate 199 (x, q57)
gate 200 (z, q66)
gate 201 (rx, q56)
gate 202 (rz, q62)
gate 203 (h, q33)
gate 204 (x, q37)
gate 205 (x, q73)
gate 206 (rx, q70)
gate 207 (rz, q75)
gate 208 (x, q79)
gate 209 (rx, q67)
gate 210 (rz, q68)
gate 211 (z, q78)
gate 212 (z, q69)
gate 213 (h, q77)
gate 214 (z, q80)
gate 215 (cz, q6, q7)
gate 216 (z, q8)
gate 217 (rx, q6)
gate 218 (z, q8)
gate 219 (h, q7)
gate 220 (cx, q56, q57)
gate 221 (rx, q58)
gate 222 (rz, q54)
gate 223 (rx, q59)
gate 224 (h, q64)
gate 225 (rx, q62)
gate 226 (rx, q65)
gate 227 (rz, q39)
gate 228 (x, q66)
gate 229 (x, q33)
gate 230 (h, q37)
gate 231 (cz, q67, q68)
gate 232 (rx, q69)
gate 233 (rz, q78)
gate 234 (z, q75)
gate 235 (rx, q70)
gate 236 (rx, q73)
gate 237 (z, q79)
gate 238 (z, q80)
gate 239 (rx, q77)
gate 240 (rz, q54)
gate 241 (x, q56)
gate 242 (h, q56)
gate 243 (x, q54)
gate 244 (z, q54)
gate 245 (x, q56)
gate 246 (z, q56)
gate 247 (x, q54)
gate 248 (rx, q54)
gate 249 (h, q56)
gate 250 (x, q56)
gate 251 (rx, q54)
gate 252 (rz, q54)
gate 253 (h, q56)
gate 254 (rz, q56)
gate 255 (rz, q54)
gate 256 (rx, q56)
gate 257 (z, q54)
gate 258 (h, q54)
gate 259 (rz, q56)
gate 260 (measure, q56)
gate 261 (swap, q35, q28)
gate 262 (swap, q37, q52)
gate 263 (swap, q49, q55)
gate 264 (swap, q39, q38)
gate 265 (swap, q47, q46)
gate 266 (swap, q70, q74)
gate 267 (swap, q40, q38)
gate 268 (swap, q39, q52)
gate 269 (swap, q48, q55)
gate 270 (cz, q46, q55)
gate 271 (cz, q46, q55)
gate 272 (cz, q46, q55)
gate 273 (cz, q46, q55)
gate 274 (rz, q55)
gate 275 (h, q46)
gate 276 (rz, q46)
gate 277 (h, q55)
gate 278 (cz, q46, q55)
gate 279 (cz, q46, q55)
gate 280 (z, q46)
gate 281 (rx, q55)
gate 282 (x, q46)
gate 283 (rz, q55)
gate 284 (cz, q46, q55)
gate 285 (h, q55)
gate 286 (rz, q46)
gate 287 (z, q46)
gate 288 (z, q55)
gate 289 (rx, q46)
gate 290 (x, q55)
gate 291 (z, q46)
gate 292 (z, q55)
gate 293 (cx, q46, q55)
gate 294 (h, q46)
gate 295 (z, q55)
gate 296 (x, q46)
gate 297 (h, q55)
gate 298 (h, q46)
gate 299 (rx, q55)
gate 300 (x, q55)
gate 301 (x, q46)
gate 302 (swap, q40, q52)
gate 303 (swap, q46, q28)
gate 304 (swap, q41, q38)
gate 305 (swap, q41, q52)
gate 306 (swap, q29, q35)
gate 307 (swap, q47, q28)
gate 308 (swap, q69, q74)
gate 309 (swap, q45, q28)
gate 310 (swap, q66, q65)
gate 311 (swap, q32, q36)
gate 312 (swap, q30, q35)
gate 313 (swap, q31, q35)
gate 314 (cx, q35, q36)
gate 315 (rz, q35)
gate 316 (rz, q36)
gate 317 (cx, q35, q36)
gate 318 (cx, q35, q36)
gate 319 (cx, q35, q36)
gate 320 (cz, q35, q36)
gate 321 (z, q35)
gate 322 (h, q36)
gate 323 (h, q35)
gate 324 (rx, q36)
gate 325 (cz, q35, q36)
gate 326 (cx, q35, q36)
gate 327 (swap, q44, q28)
gate 328 (swap, q67, q65)
gate 329 (swap, q42, q38)
gate 330 (swap, q42, q52)
gate 331 (cz, q52, q53)
gate 332 (h, q53)
gate 333 (rz, q52)
gate 334 (cz, q52, q53)
gate 335 (cz, q52, q53)
gate 336 (rx, q53)
gate 337 (rz, q52)
gate 338 (cz, q52, q53)
gate 339 (rz, q52)
gate 340 (swap, q43, q38)
gate 341 (cz, q28, q38)
gate 342 (cx, q28, q38)
gate 343 (cx, q28, q38)
gate 344 (cx, q28, q38)
gate 345 (cx, q28, q38)
gate 346 (cz, q28, q38)
gate 347 (cz, q28, q38)
gate 348 (h, q28)
gate 349 (h, q38)
gate 350 (cz, q28, q38)
gate 351 (cx, q28, q38)
gate 352 (swap, q68, q65)
gate 353 (cx, q65, q74)
gate 354 (rz, q65)
gate 355 (h, q74)
gate 356 (cx, q65, q74)
gate 357 (cz, q65, q74)
gate 358 (x, q74)
gate 359 (h, q65)
gate 360 (cz, q65, q74)
gate 361 (cz, q65, q74)
gate 362 (cz, q65, q74)
gate 363 (cx, q65, q74)
gate 364 (cx, q65, q74)
gate 365 (swap, q60, q53)
gate 366 (swap, q43, q52)
gate 367 (swap, q63, q64)
gate 368 (swap, q24, q34)
gate 369 (swap, q50, q51)
gate 370 (swap, q26, q27)
gate 371 (swap, q48, q51)
gate 372 (swap, q62, q72)
gate 373 (swap, q25, q34)
gate 374 (cx, q27, q34)
gate 375 (rz, q27)
gate 376 (h, q34)
gate 377 (cz, q27, q34)
gate 378 (cx, q27, q34)
gate 379 (cz, q27, q34)
gate 380 (x, q27)
gate 381 (rx, q34)
gate 382 (rz, q34)
gate 383 (h, q27)
gate 384 (cz, q27, q34)
gate 385 (x, q27)
gate 386 (x, q34)
gate 387 (swap, q61, q53)
gate 388 (swap, q72, q53)
gate 389 (cz, q53, q64)
gate 390 (cz, q53, q64)
gate 391 (cx, q53, q64)
gate 392 (h, q64)
gate 393 (rx, q53)
gate 394 (h, q53)
gate 395 (rz, q64)
gate 396 (cx, q53, q64)
gate 397 (cx, q53, q64)
gate 398 (rz, q64)
gate 399 (h, q53)
gate 400 (cz, q53, q64)
gate 401 (cx, q53, q64)
gate 402 (swap, q38, q52)
gate 403 (swap, q55, q51)
gate 404 (swap, q28, q52)
gate 405 (swap, q44, q52)
gate 406 (swap, q61, q72)
gate 407 (swap, q45, q52)
gate 408 (swap, q47, q51)
gate 409 (cz, q51, q52)
gate 410 (x, q52)
gate 411 (z, q51)
gate 412 (cx, q51, q52)
gate 413 (cz, q51, q52)
gate 414 (rx, q51)
gate 415 (x, q52)
gate 416 (cx, q51, q52)
gate 417 (cz, q51, q52)
gate 418 (cz, q51, q52)
gate 419 (rx, q51)
gate 420 (h, q52)
gate 421 (swap, q59, q72)
gate 422 (swap, q58, q71)
gate 423 (cx, q71, q72)
gate 424 (cx, q71, q72)
gate 425 (cx, q71, q72)
gate 426 (h, q72)
gate 427 (x, q71)
gate 428 (rz, q72)
gate 429 (h, q71)
gate 430 (h, q72)
gate 431 (x, q71)
gate 432 (cx, q71, q72)
gate 433 (cx, q71, q72)
if {
  // then
  gate 434 (z, q48)
  gate 435 (z, q32)
  gate 436 (z, q31)
  gate 437 (rz, q47)
  gate 438 (x, q12)
  gate 439 (z, q45)
  gate 440 (x, q27)
  gate 441 (z, q7)
  gate 442 (rx, q8)
  gate 443 (h, q49)
  gate 444 (h, q29)
  gate 445 (rx, q38)
  gate 446 (h, q45)
  gate 447 (h, q31)
  gate 448 (h, q29)
  gate 449 (rz, q32)
  gate 450 (z, q47)
  gate 451 (h, q7)
  gate 452 (h, q48)
  gate 453 (rx, q38)
  gate 454 (rz, q49)
  gate 455 (rz, q12)
  gate 456 (z, q7)
  gate 457 (z, q45)
  gate 458 (h, q29)
  gate 459 (rz, q31)
  gate 460 (z, q38)
  gate 461 (rx, q49)
  gate 462 (rz, q49)
  gate 463 (rx, q38)
  gate 464 (z, q45)
  gate 465 (rz, q7)
  gate 466 (rx, q29)
  gate 467 (x, q31)
  gate 468 (h, q49)
  gate 469 (z, q45)
  gate 470 (z, q31)
  gate 471 (rx, q38)
  gate 472 (h, q38)
  gate 473 (rz, q31)
  gate 474 (rz, q45)
  gate 475 (h, q49)
  gate 476 (rz, q31)
  gate 477 (rx, q38)
  gate 478 (rz, q45)
  gate 479 (z, q49)
  gate 480 (x, q49)
  gate 481 (rz, q45)
  gate 482 (rz, q31)
  gate 483 (rx, q38)
  gate 484 (rx, q31)
  gate 485 (h, q45)
  gate 486 (z, q49)
  gate 487 (h, q38)
  gate 488 (x, q45)
  gate 489 (x, q31)
  gate 490 (rx, q49)
  gate 491 (z, q38)
  gate 492 (swap, q5, q6)
  gate 493 (swap, q8, q9)
  gate 494 (swap, q10, q11)
  gate 495 (swap, q4, q5)
  gate 496 (swap, q4, q15)
  gate 497 (swap, q9, q10)
  gate 498 (swap, q8, q9)
  gate 499 (swap, q7, q8)
  gate 500 (swap, q6, q7)
  gate 501 (swap, q5, q6)
  gate 502 (swap, q8, q9)
  gate 503 (swap, q9, q10)
  gate 504 (swap, q4, q5)
  gate 505 (swap, q3, q4)
  gate 506 (swap, q2, q3)
  gate 507 (swap, q1, q2)
  gate 508 (swap, q0, q1)
  gate 509 (swap, q4, q5)
  gate 510 (swap, q0, q14)
  gate 511 (swap, q5, q6)
  for (iterations=100) {
    gate 512 (cx, q0, q1)
    gate 513 (cz, q2, q3)
    gate 514 (cx, q4, q5)
    gate 515 (rz, q8)
    gate 516 (h, q9)
    gate 517 (rz, q10)
    gate 518 (z, q11)
    gate 519 (rz, q12)
    gate 520 (x, q13)
    gate 521 (h, q14)
    gate 522 (h, q15)
    gate 523 (x, q16)
    gate 524 (z, q17)
    gate 525 (h, q18)
    gate 526 (rz, q19)
    gate 527 (cx, q0, q1)
    gate 528 (cx, q4, q5)
    gate 529 (cz, q2, q3)
    gate 530 (cz, q10, q15)
    gate 531 (h, q19)
    gate 532 (x, q17)
    gate 533 (h, q16)
    gate 534 (rx, q8)
    gate 535 (rx, q13)
    gate 536 (h, q11)
    gate 537 (x, q18)
    gate 538 (x, q14)
    gate 539 (x, q9)
    gate 540 (x, q12)
    gate 541 (cx, q11, q8)
    gate 542 (cz, q10, q15)
    gate 543 (cz, q2, q3)
    gate 544 (cz, q0, q1)
    gate 545 (x, q14)
    gate 546 (rx, q5)
    gate 547 (x, q18)
    gate 548 (rz, q13)
    gate 549 (z, q9)
    gate 550 (h, q19)
    gate 551 (x, q4)
    gate 552 (z, q16)
    gate 553 (rz, q17)
    gate 554 (z, q12)
    gate 555 (cx, q0, q1)
    gate 556 (cz, q12, q17)
    gate 557 (z, q19)
    gate 558 (rz, q4)
    gate 559 (z, q5)
    gate 560 (z, q15)
    gate 561 (z, q8)
    gate 562 (rz, q9)
    gate 563 (rx, q3)
    gate 564 (z, q18)
    gate 565 (rx, q16)
    gate 566 (z, q10)
    gate 567 (z, q11)
    gate 568 (x, q2)
    gate 569 (cz, q4, q5)
    gate 570 (cx, q11, q8)
    gate 571 (cz, q10, q15)
    gate 572 (rx, q18)
    gate 573 (z, q12)
    gate 574 (rz, q2)
    gate 575 (rx, q1)
    gate 576 (rx, q19)
    gate 577 (z, q0)
    gate 578 (x, q3)
    gate 579 (z, q16)
    gate 580 (rz, q17)
    gate 581 (h, q9)
    gate 582 (rx, q16)
    gate 583 (z, q9)
    gate 584 (rx, q3)
    gate 585 (rz, q1)
    gate 586 (rz, q12)
    gate 587 (cz, q10, q15)
    gate 588 (cz, q18, q19)
    gate 589 (cz, q4, q5)
    gate 590 (rx, q0)
    gate 591 (rx, q11)
    gate 592 (z, q17)
    gate 593 (z, q8)
    gate 594 (rz, q2)
    gate 595 (cx, q10, q15)
    gate 596 (cz, q11, q8)
    gate 597 (cx, q2, q3)
    gate 598 (z, q0)
    gate 599 (rx, q16)
    gate 600 (x, q17)
    gate 601 (rx, q9)
    gate 602 (rz, q18)
    gate 603 (z, q5)
    gate 604 (rx, q12)
    gate 605 (x, q19)
    gate 606 (rx, q4)
    gate 607 (x, q1)
    gate 608 (cx, q12, q17)
    gate 609 (cx, q11, q8)
    gate 610 (cx, q2, q3)
    gate 611 (h, q15)
    gate 612 (z, q1)
    gate 613 (rz, q0)
    gate 614 (z, q5)
    gate 615 (rz, q16)
    gate 616 (h, q19)
    gate 617 (z, q18)
    gate 618 (h, q4)
    gate 619 (rz, q9)
    gate 620 (h, q10)
    gate 621 (cz, q18, q19)
    gate 622 (cz, q4, q5)
    gate 623 (cz, q12, q17)
    gate 624 (cz, q10, q15)
